"asn","name","description","country_code","traffic_estimation","traffic_ratio","rir_country_code","rir_date_allocated"
"132203","TENCENT-NET-AP-CN","Tencent Building, Kejizhongyi Avenue","CN","5-10Gbps","Mostly Outbound","CN",2012-03-13
"262656","Nova Link Caxias Telecom LTDA","Nova Link Caxias Telecom LTDA","BR","","Not Disclosed","BR",2009-02-18
"23966","LDN-AS-PK","LINKdotNET Telecom Limited","PK","","Not Disclosed","PK",2003-12-02
"23674","NAYATEL-PK","Nayatel (Pvt) Ltd","PK","100-200Gbps","Mostly Inbound","PK",2003-03-18
"17483","CITYON-AS-AP","CityOnline Services Ltd","IN","50-100Gbps","Mostly Outbound","IN",2000-11-24
"13585","Power VT S.A.","Power VT S.A.","AR","10-20Gbps","Mostly Inbound","AR",1999-07-11
"8369","INTERSVYAZ-AS","38-B, Komsomolsky prospekt,","RU","100-200Gbps","Mostly Inbound","RU",1997-07-03
"23201","Telecel S.A.","Telecel S.A.","PY","300-500Gbps","Mostly Inbound","PY",2002-02-06
"9848","SejongTelecom-AS-KR","Sejong Telecom","KR","300-500Gbps","Balanced","",NA
"44244","IranCell-AS","Iran Cell Service and Communication Company","IR","","","IR",2007-12-11
"49483","SKATISP","SKAT-Media Ltd.","RU","","","RU",2009-06-17
"25144","TELEKOM-SRPSKE-AS","Vuka Karadzica 2","BA","","","BA",2002-08-07
"4812","CHINANET-SH-AP","China Telecom (Group)","CN","","","CN",1996-01-09
"27889","Telecomunicaciones MOVILNET","Telecomunicaciones MOVILNET","VE","","","VE",2007-03-29
"25490","STC-AS","PJSC Rostelecom (Krasnodar)","RU","","","RU",2002-12-09
"45706","TGG-AS-ID","Tele Globe Global, PT","ID","","Not Disclosed","",NA
"22927","Telefonica de Argentina","Telefonica de Argentina","AR","500-1000Gbps","Heavy Inbound","AR",2001-12-14
"58519","CHINATELECOM-Ctcloud","Cloud Computing Corporation","CN","","","",NA
"50340","SELECTEL-MSK","OOO ""Network of data-centers ""Selectel""","RU","50-100Gbps","Mostly Outbound","RU",2017-10-16
"17072","TOTAL PLAY TELECOMUNICACIONES SA DE CV","TOTAL PLAY TELECOMUNICACIONES SA DE CV","MX","500-1000Gbps","Heavy Inbound","MX",2000-07-20
"135628","PC-NET-AS-AP","PC-Net","BD","","","BD",2016-10-12
"34984","TELLCOM-AS","TELLCOM ILETISIM HIZMETLERI A.S.","TR","","Balanced","TR",2005-05-12
"10318","Telecom Argentina S.A.","Telecom Argentina S.A.","AR","","","AR",1997-06-25
"18209","BEAMTELE-AS-AP","Atria Convergence Technologies pvt ltd","IN","500-1000Gbps","Balanced","IN",2007-02-05
"46844","SHARKTECH","Sharktech","US","","Not Disclosed","US",2009-03-31
"27761","Cablenet S.A","Cablenet S.A","NI","","","NI",2005-03-21
"18109","MAISHANET-AS-AP","MAISHA NET","BD","","","BD",2017-03-02
"43267","SEVEREN-MSK-NET","JSC ""Severen-Telecom""","RU","","","RU",2011-08-30
